                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71896,                0.95719,                0.88942,                0.96782,                0.98983,                0.99221,                0.88405,                0.45873,                0.43521,                0.77557,               0.070008,              0.0033324,              0.0033324
                      1,                0.67664,                0.59618,                0.89242,                0.96646,                0.96954,                0.99208,                0.87785,                0.49779,                 0.4346,                0.78459,               0.039348,              0.0060058,              0.0060058
                      2,                0.70167,                0.60341,                0.90037,                0.96083,                0.97488,                0.98797,                0.87249,                 0.5075,                0.42343,                0.79049,              0.0080285,              0.0080193,              0.0080193
                      3,                0.68666,                0.55605,                0.89687,                0.97555,                0.98326,                0.99219,                0.88784,                0.45924,                0.37014,                 0.7828,                0.00703,                0.00703,                0.00703
                      4,                 0.6403,                0.50349,                 0.8836,                0.97439,                0.98888,                0.99235,                0.90294,                0.42085,                0.34529,                0.77124,                0.00703,                0.00703,                0.00703
                      5,                0.59338,                0.46158,                0.87168,                0.97481,                0.99165,                0.99025,                0.90555,                0.40616,                0.33279,                0.76692,                0.00604,                0.00604,                0.00604
                      6,                0.55704,                0.41973,                0.86032,                0.98106,                0.98946,                0.99356,                0.91928,                0.38572,                0.29861,                0.76184,                0.00505,                0.00505,                0.00505
                      7,                0.52032,                0.38755,                0.85075,                0.98557,                0.99102,                0.99333,                0.91298,                0.37217,                0.27428,                0.75914,                0.00406,                0.00406,                0.00406
                      8,                 0.4881,                 0.3629,                0.84337,                0.98236,                 0.9918,                0.99432,                0.92308,                0.36799,                0.26106,                0.75855,                0.00307,                0.00307,                0.00307
                      9,                0.46369,                0.34294,                0.83567,                0.98552,                 0.9887,                0.99447,                0.92876,                 0.3568,                0.25403,                 0.7537,                0.00208,                0.00208,                0.00208
